card_id,customer_id,card_type,status,credit_limit,ts
2001,601,VISA,ACTIVE,8000,2025-02-20 10:00:00
2002,602,MASTERCARD,ACTIVE,4500,2025-02-20 11:00:00
2003,603,AMEX,CLOSED,11000,2025-02-20 12:00:00
2004,604,VISA,ACTIVE,2500,2025-02-20 13:00:00
2005,605,AMEX,ACTIVE,15000,2025-02-20 14:00:00
2006,606,MASTERCARD,BLOCKED,3000,2025-02-20 15:00:00
2007,607,VISA,ACTIVE,7000,  2025-02-20 16:00:00
2008,608,VISA,ACTIVE,9000,2025-02-20 17:00:00
2009,609,MASTERCARD,ACTIVE,5000,2025-02-20 18:00:00
2010,610,AMEX,ACTIVE,13000,2025-02-20 19:00:00
